Method,Pos. distr.,Period distr., Map size, ED, Dens, Max. SF, GW, Channels, Coverage, Avg. UF, Elapsed, Iters, Exit cond.
Random,Uniform,Hard,1000,2000,0.00,12,90,1,100.00,0.02,22087,806,Max. coverage
Random,Uniform,Hard,1000,5000,0.01,12,100,1,100.00,0.05,55953,805,Max. coverage
Springs,Uniform,Hard,1000,100000,0.10,9,216,12,100.00,0.44,168420,181,Max. coverage
Random,Uniform,Hard,1000,100,0.00,12,48,1,100.00,0.00,615,483,Max. coverage
Random,Uniform,Hard,1000,200,0.00,12,59,1,100.00,0.00,1498,560,Max. coverage
Random,Uniform,Hard,1000,500,0.00,12,85,1,100.00,0.01,5215,775,Max. coverage
Random,Uniform,Hard,1000,1000,0.00,12,87,1,100.00,0.01,10176,765,Max. coverage
Random,Uniform,Hard,1000,2000,0.00,12,91,1,100.00,0.02,22511,812,Max. coverage
Random,Uniform,Hard,1000,10000,0.01,12,81,2,100.00,0.12,72297,529,Max. coverage
Random,Uniform,Hard,1000,5000,0.01,12,100,1,100.00,0.05,54887,804,Max. coverage
Random,Uniform,Hard,1000,10000,0.01,12,114,1,100.00,0.08,120606,897,Max. coverage
Random,Uniform,Hard,1000,20000,0.02,12,115,4,100.00,0.17,175920,613,Max. coverage
Random,Uniform,Hard,1000,20000,0.02,12,101,3,100.00,0.19,133465,458,Max. coverage
Random,Uniform,Hard,1000,50000,0.05,12,144,7,100.00,0.33,498009,499,Max. coverage
Random,Uniform,Hard,1000,50000,0.05,12,154,7,100.00,0.31,584103,603,Max. coverage
Random,Uniform,Hard,1000,100000,0.10,9,205,13,100.00,0.47,105465,57,Max. coverage
Random,Uniform,Hard,1000,100000,0.10,9,230,11,100.00,0.41,651542,337,Max. coverage
